GrLivArea,TotalBsmtSF,LotArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Neighborhood,GarageCars,GarageArea,PoolArea,Fireplaces,BldgType,HouseStyle,SalePrice
584,1386.0,10058,3,3,6,3,5,1936,1939,Mitchel,,241.0,0,3,1Fam,2Story,151672
974,1004.0,7592,4,1,8,3,5,1916,1937,NAmes,,0.0,0,0,TwnhsE,1Story,133862
2248,629.0,11736,2,3,4,4,1,1957,1982,Mitchel,0.0,0.0,0,2,Twnhs,1Story,227192
2428,1376.0,11380,3,3,4,8,1,1986,1996,NAmes,1.0,152.0,0,0,1Fam,1Story,303659
1448,1219.0,14621,1,1,3,6,8,1989,1996,NWAmes,0.0,0.0,0,2,1Fam,SFoyer,240430
880,1161.0,13766,5,2,9,8,8,1928,1939,Edwards,0.0,0.0,0,0,Duplex,SLvl,175740
2547,1214.0,7942,4,2,7,1,6,1932,1939,OldTown,1.0,193.0,0,3,Twnhs,2Story,229382
2297,1718.0,12460,3,1,7,8,4,1959,1969,NWAmes,,232.0,0,2,1Fam,2Story,304075
1839,1655.0,7147,6,2,8,4,2,1990,2010,Somerst,1.0,244.0,0,0,1Fam,SLvl,245311
1093,793.0,12087,1,2,5,1,2,1988,2007,NridgHt,3.0,642.0,0,3,1Fam,SFoyer,207506
1475,1487.0,8450,5,2,9,8,9,1954,1961,NAmes,3.0,647.0,0,1,Duplex,SFoyer,258065
1419,1114.0,6930,1,3,4,4,5,1909,1937,NAmes,1.0,190.0,0,0,TwnhsE,SLvl,168997
1665,1149.0,10840,3,2,5,6,4,1946,1953,Gilbert,2.0,399.0,0,0,1Fam,SLvl,233618
2225,492.0,2000,2,3,4,8,1,1922,1947,Mitchel,1.0,212.0,0,1,1Fam,1.5Fin,235065
1939,948.0,4747,5,2,7,4,7,1984,2010,Sawyer,3.0,571.0,0,0,TwnhsE,SFoyer,236002
961,756.0,9467,1,3,2,3,3,1920,1936,Sawyer,0.0,0.0,0,1,1Fam,1Story,120494
2188,1248.0,10247,2,1,6,9,6,2006,2010,Gilbert,2.0,336.0,0,2,TwnhsE,2Story,312916
1656,1321.0,8892,4,1,6,3,5,1912,1931,NWAmes,2.0,356.0,0,1,1Fam,SFoyer,210275
1843,377.0,5261,3,2,7,9,5,2000,2010,NAmes,0.0,0.0,0,3,1Fam,SLvl,236169
2233,993.0,7546,3,3,6,2,5,1932,1947,CollgCr,2.0,359.0,0,1,1Fam,1Story,217247
944,1336.0,11173,5,1,8,2,1,1923,1936,OldTown,0.0,0.0,0,2,2fmCon,1.5Fin,131191
1482,943.0,11745,1,1,2,2,1,2007,2010,Somerst,3.0,692.0,0,1,TwnhsE,1.5Fin,214231
1234,1218.0,9951,4,1,5,6,3,1910,1920,Edwards,2.0,402.0,0,1,Twnhs,1Story,192679
716,1105.0,13470,6,1,9,3,4,1916,1922,Edwards,2.0,322.0,0,2,TwnhsE,1Story,144117
1673,1102.0,11192,5,2,7,9,5,1967,1982,Sawyer,0.0,0.0,0,0,1Fam,SLvl,252696
2755,918.0,7757,6,3,9,4,2,1946,1958,Sawyer,0.0,0.0,0,0,1Fam,SLvl,229605
579,635.0,9158,5,1,9,1,8,1924,1950,Gilbert,3.0,675.0,0,3,1Fam,2Story,153364
1483,663.0,5791,1,2,2,4,2,1993,2007,NAmes,0.0,0.0,0,3,TwnhsE,2Story,189740
1820,1212.0,9675,4,1,5,1,9,1972,1995,Mitchel,0.0,0.0,0,1,1Fam,1.5Fin,216600
1561,,13336,1,1,4,5,2,1920,1935,Edwards,3.0,633.0,0,0,Twnhs,1Story,218354
1443,958.0,12055,3,1,5,4,9,1983,2009,NAmes,1.0,187.0,0,0,Twnhs,1.5Fin,206190
850,,14206,6,1,8,8,7,1982,2002,Somerst,1.0,190.0,0,1,1Fam,SLvl,212902
1616,908.0,9091,2,2,6,8,8,1982,2004,OldTown,0.0,0.0,0,2,TwnhsE,SFoyer,233576
1121,1314.0,14038,3,3,4,7,2,1911,1934,OldTown,3.0,580.0,0,0,Twnhs,SLvl,188921
500,899.0,9420,3,2,6,3,7,1936,1944,Edwards,1.0,166.0,0,3,TwnhsE,SFoyer,135278
2097,597.0,14414,6,2,9,1,6,1941,1943,CollgCr,3.0,576.0,0,1,2fmCon,1Story,218419
1979,1223.0,9934,5,2,6,1,4,1916,1934,Gilbert,0.0,0.0,0,2,TwnhsE,1Story,196044
1525,938.0,12121,3,1,6,3,7,2000,2010,Edwards,0.0,0.0,0,3,1Fam,1Story,200100
1614,1009.0,14425,4,3,5,6,4,1947,1951,Somerst,3.0,772.0,0,0,2fmCon,2Story,242984
2037,1482.0,9419,3,1,5,7,2,2002,2010,CollgCr,2.0,431.0,0,2,1Fam,2Story,291041
1612,993.0,10655,4,2,6,6,7,1927,1943,NridgHt,0.0,0.0,0,3,1Fam,SFoyer,238296
1952,1086.0,13866,1,1,4,6,8,1940,1954,NWAmes,0.0,0.0,0,1,TwnhsE,1.5Fin,246242
1351,646.0,9600,5,3,7,6,2,1998,2010,Sawyer,0.0,0.0,0,2,2fmCon,1.5Fin,198709
2155,934.0,6037,4,3,6,3,5,1946,1970,Sawyer,0.0,0.0,0,2,1Fam,SFoyer,215900
1660,,16429,3,1,7,6,1,1917,1924,CollgCr,3.0,671.0,0,1,1Fam,2Story,245042
1597,533.0,8590,5,2,6,8,7,1977,1991,Edwards,3.0,438.0,0,0,Twnhs,SLvl,231300
864,1060.0,10476,5,1,6,2,8,1998,2010,Sawyer,3.0,700.0,0,0,TwnhsE,SFoyer,180901
1643,1030.0,13468,4,2,7,5,6,2007,2010,NAmes,3.0,667.0,0,2,1Fam,1.5Fin,257261
1084,,8174,4,3,5,1,5,2004,2010,Sawyer,2.0,,0,2,Twnhs,SFoyer,171390
1180,1311.0,6976,2,1,6,1,6,1970,1989,OldTown,3.0,560.0,0,2,1Fam,SFoyer,171693
1092,1100.0,10761,2,3,5,5,2,2004,2010,Sawyer,,598.0,0,3,2fmCon,1Story,207599
966,1443.0,4620,5,2,8,3,1,1912,1918,NridgHt,0.0,0.0,0,2,Duplex,2Story,173713
2562,701.0,9136,6,2,7,4,7,1981,2001,Gilbert,2.0,432.0,340,0,TwnhsE,1Story,310821
2165,1040.0,10735,6,1,8,3,7,2000,2010,CollgCr,0.0,0.0,0,1,TwnhsE,2Story,236909
2460,1025.0,9190,2,1,4,1,2,1912,1923,NAmes,2.0,313.0,0,1,1Fam,SFoyer,224730
888,679.0,5369,3,1,5,1,2,1999,2010,NridgHt,,175.0,0,1,2fmCon,2Story,179500
1535,1286.0,14782,1,3,3,5,1,1930,1946,OldTown,2.0,397.0,0,2,1Fam,1.5Fin,228872
853,1697.0,10310,5,2,9,6,8,1901,1910,Edwards,2.0,468.0,0,2,1Fam,1Story,193283
1152,994.0,14293,1,2,4,3,8,1915,1944,NWAmes,0.0,0.0,0,1,1Fam,SFoyer,168455
1040,1151.0,9219,2,3,4,9,1,1908,1936,OldTown,2.0,260.0,0,3,1Fam,1.5Fin,211255
2119,1025.0,7359,4,1,8,5,8,1972,1990,CollgCr,2.0,382.0,0,3,1Fam,2Story,273701
1301,785.0,10807,5,1,8,8,9,1937,1950,CollgCr,0.0,,0,3,1Fam,2Story,210610
2034,453.0,9352,2,3,3,1,4,1974,1984,CollgCr,1.0,176.0,0,3,2fmCon,1.5Fin,200390
1802,788.0,6466,3,2,4,5,1,1953,1954,NridgHt,1.0,173.0,762,0,Duplex,2Story,309146
2651,582.0,14409,5,2,9,3,1,1955,1972,CollgCr,1.0,177.0,0,1,1Fam,1Story,239772
760,1511.0,8133,5,2,8,1,3,1985,1991,Gilbert,2.0,381.0,0,0,Twnhs,SLvl,158295
2129,965.0,4479,6,2,8,4,5,1996,2007,Gilbert,,0.0,0,2,1Fam,2Story,236514
2073,896.0,13984,4,3,7,5,5,1999,2010,Gilbert,1.0,219.0,661,3,1Fam,SFoyer,334473
1013,1266.0,8487,5,2,7,7,9,2008,2009,CollgCr,1.0,174.0,0,3,1Fam,2Story,220584
2003,663.0,8176,4,3,8,1,2,1986,2010,Gilbert,,168.0,0,1,1Fam,SFoyer,210996
1668,769.0,4703,2,1,4,3,2,1944,1963,Mitchel,1.0,188.0,0,3,1Fam,2Story,181812
1386,1020.0,15222,3,3,7,2,6,2008,2010,Sawyer,0.0,0.0,0,1,TwnhsE,2Story,190082
1088,1308.0,6131,3,2,6,9,9,1933,1938,Sawyer,1.0,215.0,0,2,1Fam,SFoyer,218673
1140,1150.0,10175,5,1,8,10,1,1908,1931,CollgCr,2.0,435.0,0,3,1Fam,1Story,226398
2524,1074.0,12737,5,3,7,6,9,1987,1996,Somerst,2.0,417.0,0,3,1Fam,SLvl,308673
1500,1023.0,11265,2,3,5,10,9,1907,1926,NridgHt,0.0,0.0,0,0,TwnhsE,SLvl,260200
1891,1120.0,9821,6,3,8,3,9,1906,1920,NWAmes,3.0,542.0,0,1,1Fam,1Story,225086
1104,1060.0,4895,6,1,9,8,5,1935,1939,NridgHt,1.0,175.0,0,1,TwnhsE,2Story,227941
1110,691.0,7570,6,3,7,8,9,1917,1936,Mitchel,1.0,232.0,365,3,1Fam,SLvl,245023
2040,1013.0,10563,4,2,6,2,4,1902,1904,NridgHt,2.0,417.0,0,0,1Fam,1Story,211390
825,677.0,7638,6,1,10,6,2,1927,1931,Mitchel,0.0,0.0,0,3,1Fam,1Story,149193
1292,1024.0,10610,3,1,4,7,6,1969,1998,Mitchel,3.0,730.0,0,1,TwnhsE,SLvl,249490
1517,855.0,12045,4,3,8,2,4,2007,2010,NridgHt,2.0,380.0,0,1,Duplex,SFoyer,243051
1555,1761.0,12887,2,2,5,10,6,1943,1950,NWAmes,3.0,658.0,0,3,1Fam,1.5Fin,290208
1410,988.0,6321,3,1,4,2,3,1920,1927,Mitchel,0.0,0.0,0,2,1Fam,SFoyer,163787
1697,578.0,16589,3,3,6,10,6,1927,1934,Gilbert,0.0,0.0,0,3,1Fam,2Story,247982
1846,959.0,12302,1,2,3,1,2,2003,2010,NAmes,0.0,0.0,0,0,1Fam,SFoyer,197700
1867,1155.0,9994,2,3,6,8,2,1953,1976,NAmes,2.0,384.0,0,1,1Fam,1.5Fin,255207
1007,1502.0,13268,2,3,5,1,9,1953,1975,Edwards,0.0,0.0,0,1,TwnhsE,1.5Fin,167120
1357,823.0,17096,1,1,5,9,7,1964,1971,CollgCr,2.0,332.0,0,3,Duplex,1Story,257155
2097,525.0,5683,4,1,8,6,3,1999,2009,OldTown,2.0,372.0,0,2,1Fam,2Story,227892
1947,1245.0,9324,6,3,9,7,1,1920,1933,Gilbert,1.0,225.0,0,1,Twnhs,1Story,242250
813,585.0,2864,6,1,8,10,8,2006,2010,Gilbert,2.0,389.0,0,3,TwnhsE,SFoyer,233323
1675,869.0,10577,6,1,10,7,6,1998,2010,OldTown,2.0,408.0,0,2,1Fam,SFoyer,243614
510,922.0,11096,6,2,9,10,7,1912,1941,CollgCr,1.0,189.0,0,3,1Fam,SLvl,188508
1523,979.0,9882,6,2,8,3,9,1956,1979,NAmes,3.0,697.0,0,3,TwnhsE,1Story,214155
2448,1206.0,8036,1,3,4,2,5,1948,1975,NWAmes,1.0,215.0,0,3,2fmCon,1Story,246933
1026,,3851,2,3,4,9,1,1953,1962,Mitchel,1.0,204.0,0,1,1Fam,1Story,184755
1082,917.0,11120,4,3,8,8,7,1909,1915,OldTown,0.0,0.0,0,2,Duplex,1Story,186693
1882,995.0,14366,3,3,4,10,5,1952,1979,NWAmes,0.0,0.0,0,0,1Fam,1.5Fin,267246
728,1044.0,8226,6,2,9,7,3,1943,1959,Edwards,1.0,283.0,0,0,TwnhsE,SLvl,162161
1183,1029.0,11320,1,1,5,9,9,1946,1949,Mitchel,0.0,0.0,0,1,1Fam,2Story,217376
1798,1130.0,5295,4,2,7,4,1,1952,1980,NridgHt,1.0,177.0,0,1,2fmCon,2Story,241420
1182,1253.0,11371,4,3,7,4,1,1973,1985,Gilbert,0.0,0.0,0,3,1Fam,2Story,204553
1382,1117.0,8819,4,3,6,1,1,1945,1948,Mitchel,2.0,,0,3,1Fam,1.5Fin,171428
1872,1136.0,7712,1,2,4,8,3,1912,1916,NridgHt,0.0,0.0,0,2,1Fam,SLvl,257396
1710,525.0,7718,3,2,5,3,6,1936,1961,NAmes,,0.0,0,3,1Fam,SLvl,187316
1633,1015.0,8819,6,3,10,7,3,2001,2010,NridgHt,2.0,410.0,0,2,Duplex,1.5Fin,274690
1330,1143.0,11147,4,1,7,2,8,1923,1926,NridgHt,1.0,206.0,0,3,1Fam,1Story,205379
1685,1218.0,6063,1,3,5,2,2,1901,1918,Somerst,0.0,0.0,0,3,1Fam,SFoyer,193132
1438,792.0,8808,2,2,3,7,9,1985,1990,OldTown,0.0,0.0,0,0,1Fam,1Story,199470
1728,802.0,9875,1,3,5,6,3,1980,2003,Mitchel,2.0,320.0,0,1,2fmCon,2Story,237807
1251,827.0,6702,1,3,4,3,5,1999,2010,OldTown,2.0,332.0,0,2,1Fam,1Story,169418
1408,1160.0,15389,1,1,2,9,8,1913,1935,Mitchel,2.0,,0,0,1Fam,1.5Fin,250594
1005,1310.0,7439,4,3,6,10,2,1909,1930,Gilbert,3.0,538.0,0,3,TwnhsE,2Story,239105
1482,877.0,7991,1,3,2,6,6,1934,1935,Sawyer,,345.0,0,0,1Fam,SFoyer,202642
1094,1272.0,7065,2,3,5,10,5,1924,1946,OldTown,1.0,284.0,0,2,TwnhsE,2Story,226254
942,1037.0,15395,4,2,7,10,9,1902,1912,OldTown,0.0,0.0,0,1,1Fam,1Story,195442
1629,962.0,11658,2,2,6,6,5,2010,2010,Gilbert,0.0,0.0,0,0,2fmCon,SLvl,222172
1606,936.0,7190,5,1,7,1,2,2001,2010,Mitchel,3.0,664.0,0,2,1Fam,SLvl,202373
1891,1223.0,13318,1,3,4,4,5,1916,1945,Gilbert,0.0,0.0,0,3,TwnhsE,SLvl,242488
1284,1097.0,10602,6,2,9,10,4,1911,1915,NWAmes,0.0,0.0,0,0,1Fam,2Story,217891
1704,1682.0,10771,6,1,8,6,7,1953,1958,NridgHt,1.0,189.0,0,1,1Fam,SLvl,269067
1775,744.0,8966,4,3,6,6,6,1923,1932,Gilbert,0.0,0.0,0,2,1Fam,1.5Fin,215543
1722,1155.0,7751,6,1,10,5,2,1928,1935,Mitchel,1.0,221.0,0,1,TwnhsE,SFoyer,212009
1087,841.0,11013,4,1,5,1,5,1942,1955,NAmes,3.0,435.0,682,3,TwnhsE,SLvl,232959
1574,739.0,8364,1,1,3,8,7,1924,1947,Gilbert,1.0,264.0,0,1,1Fam,1.5Fin,229330
1682,996.0,15450,3,1,6,5,7,1999,2001,CollgCr,2.0,414.0,0,3,1Fam,1.5Fin,253678
1503,1041.0,6192,3,1,5,5,5,1959,1970,Gilbert,2.0,306.0,0,3,Duplex,2Story,222120
500,1875.0,14608,2,1,5,7,9,1989,2004,OldTown,3.0,614.0,0,0,TwnhsE,2Story,222854
1580,944.0,9666,1,1,5,4,4,2001,2010,NWAmes,0.0,0.0,720,3,2fmCon,SFoyer,294758
2606,660.0,10897,6,3,7,6,3,1964,1993,Somerst,1.0,170.0,0,1,TwnhsE,SFoyer,282151
1319,1081.0,12499,1,3,5,4,4,1983,2005,Gilbert,2.0,336.0,0,0,1Fam,1Story,212115
1135,377.0,8109,5,1,7,3,5,1927,1943,Sawyer,1.0,192.0,0,3,1Fam,SFoyer,151633
1686,972.0,12592,3,3,6,7,6,1915,1915,CollgCr,2.0,526.0,0,2,1Fam,2Story,237780
1656,1004.0,2000,6,1,8,8,3,1946,1968,NAmes,1.0,202.0,0,2,2fmCon,1.5Fin,229256
2096,,7840,3,3,5,4,2,1980,1989,Gilbert,0.0,0.0,0,3,1Fam,1Story,251244
871,1292.0,7227,1,2,3,2,4,2003,2010,NridgHt,3.0,684.0,0,0,1Fam,SFoyer,196959
1865,,6239,6,1,8,10,5,1991,2010,NridgHt,0.0,0.0,0,0,1Fam,1.5Fin,287091
1795,954.0,9355,2,2,3,3,4,1957,1966,CollgCr,1.0,165.0,0,0,1Fam,2Story,181175
1428,770.0,11157,1,1,4,1,3,1975,1995,OldTown,2.0,304.0,0,1,1Fam,SLvl,167117
1669,661.0,12107,2,1,4,8,8,1926,1949,Edwards,2.0,376.0,0,2,1Fam,1Story,241472
2014,1092.0,10722,6,2,9,3,4,1952,1953,OldTown,3.0,702.0,0,3,TwnhsE,1.5Fin,237652
1936,617.0,8002,3,2,4,10,2,1941,1949,CollgCr,0.0,0.0,0,3,1Fam,2Story,257293
928,875.0,11107,5,2,8,7,2,1958,1979,OldTown,0.0,0.0,0,2,1Fam,2Story,177354
1910,701.0,10372,4,1,7,10,1,1946,1958,NridgHt,0.0,0.0,0,1,2fmCon,1Story,268999
1467,1164.0,12808,3,2,4,5,4,1993,2010,NWAmes,2.0,391.0,0,0,TwnhsE,1Story,222680
1536,1540.0,12330,2,2,4,10,9,2004,2010,Edwards,3.0,556.0,0,2,2fmCon,SFoyer,302330
1536,609.0,10091,1,3,4,5,7,1933,1950,NridgHt,2.0,355.0,0,3,1Fam,SFoyer,242852
1424,444.0,7308,6,3,10,7,7,1936,1954,NAmes,0.0,0.0,0,1,TwnhsE,1Story,173441
2095,962.0,8041,3,2,6,9,7,1905,1916,NridgHt,1.0,253.0,0,3,1Fam,1Story,296386
1458,1004.0,8350,5,2,7,5,8,1906,1913,OldTown,2.0,,0,0,1Fam,1.5Fin,186890
940,1065.0,9054,6,2,10,1,1,1995,2010,NWAmes,3.0,560.0,0,2,2fmCon,SFoyer,173716
1303,866.0,10804,2,2,4,10,8,1995,2009,Edwards,0.0,0.0,0,0,Duplex,2Story,235669
1589,939.0,12145,6,3,9,10,4,1924,1933,Gilbert,1.0,260.0,527,1,1Fam,SFoyer,302184
2114,1110.0,9846,6,1,7,1,4,1932,1946,Edwards,2.0,564.0,0,2,TwnhsE,SFoyer,209493
1801,1312.0,10048,1,2,3,2,4,1954,1968,NridgHt,1.0,192.0,0,0,2fmCon,1Story,222204
1074,413.0,10429,4,2,6,6,6,1957,1979,Gilbert,1.0,203.0,0,0,TwnhsE,1Story,186888
2742,889.0,8452,2,3,3,9,7,1906,1912,CollgCr,3.0,658.0,0,0,1Fam,SFoyer,295088
1632,1064.0,7223,1,2,4,8,6,1956,1968,Mitchel,2.0,499.0,0,1,1Fam,SLvl,242737
2137,724.0,4733,4,2,6,5,1,1911,1927,NridgHt,3.0,605.0,0,0,1Fam,SLvl,252084
1424,1519.0,7914,1,3,4,1,8,1915,1923,Sawyer,0.0,0.0,0,3,1Fam,SFoyer,169521
1766,809.0,11419,4,2,7,7,7,1979,1986,NridgHt,1.0,177.0,0,2,1Fam,SLvl,289462
1919,987.0,7891,4,2,7,5,6,1942,1961,CollgCr,3.0,705.0,0,2,Duplex,SFoyer,255723
2109,1166.0,9286,4,3,5,6,6,1999,2010,Edwards,3.0,655.0,0,0,2fmCon,1Story,279653
2028,822.0,11399,1,1,4,7,5,1976,2002,NAmes,0.0,0.0,0,1,1Fam,1Story,255630
1936,446.0,11562,6,2,9,3,6,1906,1926,Gilbert,2.0,385.0,0,3,1Fam,1Story,211857
1342,871.0,6761,4,2,8,10,9,1999,2010,Sawyer,3.0,584.0,0,3,1Fam,2Story,263993
1214,,12991,6,1,10,3,9,2010,2010,Mitchel,1.0,237.0,0,2,TwnhsE,1Story,204843
1666,898.0,13382,2,3,6,5,8,1950,1965,CollgCr,1.0,176.0,0,2,1Fam,1Story,217659
1966,746.0,6610,5,1,7,6,9,1972,1980,Mitchel,1.0,163.0,0,3,2fmCon,SFoyer,255758
1388,1277.0,7528,6,2,8,9,8,1931,1942,Somerst,1.0,254.0,0,2,2fmCon,SLvl,248281
2032,900.0,13573,5,1,9,5,8,1974,1985,Sawyer,3.0,602.0,0,0,1Fam,SLvl,263704
2226,,9559,4,3,5,1,1,1907,1912,Sawyer,1.0,197.0,567,3,1Fam,1Story,236637
1041,1044.0,3340,5,2,6,4,5,1996,2010,Somerst,3.0,660.0,0,2,1Fam,1Story,211129
1081,1231.0,5800,5,3,9,5,4,1986,2010,Sawyer,2.0,340.0,0,0,TwnhsE,1Story,203936
1429,1714.0,9251,4,3,6,10,2,1988,1994,NridgHt,1.0,222.0,0,0,Duplex,SFoyer,294957
1653,1248.0,6510,6,1,8,10,8,1971,1995,Somerst,2.0,377.0,0,3,Duplex,SFoyer,301215
1237,1347.0,8759,4,1,5,5,3,1944,1946,Edwards,3.0,701.0,0,0,Duplex,SFoyer,195512
2176,848.0,10097,2,3,5,7,4,1985,2000,Somerst,0.0,0.0,0,3,1Fam,SLvl,270543
1712,692.0,14386,3,3,4,4,7,1958,1975,Edwards,2.0,427.0,0,0,1Fam,2Story,210844
1519,1018.0,9128,1,2,4,1,9,1903,1918,NAmes,1.0,193.0,0,3,TwnhsE,SLvl,164067
782,1032.0,13217,4,3,6,5,2,2003,2010,OldTown,0.0,0.0,0,3,TwnhsE,SFoyer,172235
842,676.0,14286,4,3,6,7,3,1966,1972,Sawyer,2.0,446.0,0,3,2fmCon,1.5Fin,203063
1640,947.0,14302,5,1,9,10,4,1928,1931,Gilbert,3.0,586.0,0,3,2fmCon,2Story,270726
500,1119.0,10854,2,3,4,10,1,2004,2010,Gilbert,3.0,641.0,0,0,1Fam,1Story,231017
2006,,4110,5,3,8,6,7,1928,1952,OldTown,3.0,713.0,732,3,1Fam,SLvl,332310
1420,1151.0,11382,6,1,7,5,2,1997,2010,NWAmes,2.0,447.0,0,2,2fmCon,2Story,234033
3121,1087.0,13145,4,2,8,4,5,1997,2004,NridgHt,3.0,502.0,0,0,TwnhsE,1.5Fin,346790
2653,847.0,9756,4,1,7,2,1,1927,1939,Sawyer,2.0,367.0,0,3,1Fam,2Story,234635
1409,845.0,15233,5,1,6,4,3,1976,1988,Sawyer,1.0,213.0,191,0,1Fam,SLvl,209220
1446,640.0,12579,4,3,5,10,2,1978,1994,OldTown,1.0,223.0,0,0,1Fam,SFoyer,234100
1997,1535.0,11704,6,3,7,10,1,1986,2002,Edwards,2.0,376.0,0,0,1Fam,1Story,300389
2351,1004.0,13259,3,2,5,3,7,1943,1947,NridgHt,2.0,411.0,0,0,1Fam,SFoyer,276839
680,932.0,11000,1,3,2,10,5,1989,1994,CollgCr,0.0,0.0,0,3,Twnhs,SFoyer,218923
606,721.0,2521,1,2,3,1,1,1903,1921,Gilbert,3.0,629.0,0,0,TwnhsE,SLvl,108788
1188,,8502,1,2,2,8,6,1989,2001,CollgCr,1.0,164.0,0,2,TwnhsE,SFoyer,247247
1791,678.0,13591,3,2,4,5,5,2003,2010,Somerst,1.0,157.0,0,0,2fmCon,SFoyer,249906
1748,871.0,7577,4,2,6,4,3,1908,1935,Edwards,0.0,0.0,0,0,1Fam,SLvl,165787
2034,1124.0,9329,5,3,7,8,7,1904,1929,NWAmes,2.0,406.0,0,2,Twnhs,SLvl,270577
900,1180.0,6865,2,1,5,7,9,1955,1968,CollgCr,2.0,318.0,0,3,1Fam,1.5Fin,222395
500,1287.0,15351,4,1,5,2,9,1995,2010,Gilbert,0.0,0.0,0,2,TwnhsE,SFoyer,156926
1929,1542.0,15044,3,3,5,1,9,1983,1986,Gilbert,3.0,658.0,0,1,Duplex,2Story,265800
1085,1151.0,7348,6,3,9,4,2,1949,1976,Gilbert,2.0,,208,2,1Fam,1Story,204526
500,683.0,10441,3,2,6,8,3,1974,1980,NAmes,2.0,468.0,0,3,1Fam,1Story,189331
1572,922.0,7958,1,3,3,2,7,1914,1921,Sawyer,3.0,702.0,0,2,1Fam,SLvl,198313
1896,1092.0,11844,4,1,5,3,5,1931,1955,CollgCr,3.0,709.0,0,0,1Fam,SLvl,225151
1438,1620.0,11529,1,3,4,1,2,1927,1939,Somerst,0.0,0.0,0,3,1Fam,1.5Fin,186542
1271,580.0,12435,2,3,3,1,3,1921,1947,CollgCr,0.0,0.0,0,1,TwnhsE,SFoyer,139565
1420,1360.0,10995,6,2,7,3,6,2004,2009,Somerst,0.0,0.0,0,3,Duplex,SLvl,220400
1314,1053.0,18806,1,2,4,5,7,1916,1921,Gilbert,2.0,494.0,0,0,1Fam,SLvl,198364
825,1251.0,6916,2,2,4,3,9,1958,1981,NridgHt,0.0,0.0,311,1,1Fam,1Story,217676
1142,969.0,4868,3,2,4,1,1,1989,2010,Somerst,2.0,386.0,0,3,2fmCon,SFoyer,185067
1760,,8820,1,1,5,1,7,2007,2010,Edwards,1.0,174.0,0,3,1Fam,1.5Fin,195632
1660,1225.0,5296,1,3,3,8,8,1970,1999,Sawyer,3.0,767.0,0,0,1Fam,SLvl,263215
1584,1196.0,5522,5,3,8,10,3,2005,2007,Sawyer,3.0,,0,2,2fmCon,SLvl,285736
1002,1291.0,6996,6,2,10,2,4,1956,1983,NAmes,1.0,226.0,0,2,1Fam,SLvl,162072
1409,996.0,7233,6,1,7,3,6,1925,1927,Mitchel,0.0,0.0,0,1,1Fam,1Story,163311
500,820.0,7136,3,1,5,2,7,1924,1936,CollgCr,,422.0,0,0,1Fam,SLvl,120083
1589,532.0,11554,5,3,9,3,4,1909,1930,OldTown,2.0,348.0,0,0,1Fam,SLvl,162297
2214,1245.0,8481,2,2,4,7,8,1944,1945,NAmes,2.0,,0,2,1Fam,1Story,274329
762,1127.0,9461,2,3,3,1,5,1982,1997,OldTown,3.0,606.0,0,2,1Fam,SLvl,170776
1207,710.0,12682,3,3,5,10,1,1910,1931,Mitchel,0.0,0.0,0,1,1Fam,SFoyer,202413
1664,838.0,7701,6,1,10,8,4,1976,2004,Sawyer,2.0,350.0,0,2,TwnhsE,SFoyer,244487
2126,859.0,9206,2,1,4,10,3,1952,1957,Edwards,2.0,387.0,0,1,Duplex,1Story,283498
1275,555.0,11097,3,3,6,10,9,1971,1978,Gilbert,2.0,363.0,0,3,2fmCon,SFoyer,265759
1153,754.0,4175,2,2,5,10,8,2003,2010,Gilbert,1.0,201.0,0,1,1Fam,1.5Fin,243614
515,659.0,2845,4,2,8,2,1,1967,1974,Somerst,2.0,373.0,0,1,1Fam,SLvl,121086
1551,876.0,11038,1,3,3,3,6,2010,2010,NAmes,1.0,179.0,0,1,1Fam,1.5Fin,227692
2521,778.0,11476,6,3,10,9,9,1994,2010,Mitchel,2.0,344.0,0,3,TwnhsE,SFoyer,312748
1638,511.0,16192,4,2,6,7,7,1927,1932,Edwards,2.0,400.0,0,2,1Fam,1Story,210063
1488,1606.0,10474,3,2,4,4,4,1974,1987,Gilbert,,453.0,0,1,1Fam,1Story,242393
1661,,12459,3,2,6,10,1,2006,2008,Somerst,1.0,219.0,0,2,1Fam,1.5Fin,293431
1494,766.0,9413,4,3,5,5,2,1964,1973,CollgCr,2.0,308.0,0,1,TwnhsE,SFoyer,187078
1093,1081.0,10891,1,1,3,2,5,1948,1950,Sawyer,0.0,0.0,0,2,TwnhsE,SLvl,151055
1911,1125.0,15001,1,2,2,8,5,1946,1972,CollgCr,2.0,438.0,0,1,1Fam,SFoyer,278066
1612,1357.0,3628,5,2,9,4,8,1951,1962,Sawyer,1.0,226.0,0,2,Duplex,SFoyer,208365
1508,754.0,11240,2,2,6,9,6,2001,2010,CollgCr,1.0,232.0,0,0,1Fam,1Story,251425
1012,,16406,5,3,7,5,8,1987,2010,Somerst,,0.0,0,3,1Fam,2Story,226020
2151,835.0,10846,1,1,4,9,2,1953,1981,Edwards,3.0,573.0,0,1,1Fam,SLvl,277610
1832,599.0,14951,4,1,8,4,3,1959,1963,NAmes,0.0,0.0,0,3,1Fam,SLvl,218621
1223,1217.0,8112,2,2,5,10,6,1956,1985,Sawyer,0.0,0.0,0,1,1Fam,1Story,236213
